"Date Heure, GMT+01:00",Débit d'eau échangé (m/s) - pour les meilleurs paramètres,Débit d'eau échangé (m/s) - quantile 0.05,Débit d'eau échangé (m/s) - quantile 0.5,Débit d'eau échangé (m/s) - quantile 0.95
16/03/22 04:45:00,1.572973451402504e-05,5.251394874505877e-09,5.847558099958405e-07,9.462061279918998e-05
16/03/22 05:00:00,1.5721099771326408e-05,2.5883808429938426e-09,5.57374050913495e-07,9.497386054135859e-05
16/03/22 05:15:00,1.3476415915647522e-05,-2.4248936192350357e-09,4.708605274572619e-07,8.148283086484298e-05
16/03/22 05:30:00,1.613849963177927e-05,7.0137624597066406e-09,6.050781848898623e-07,9.70528126345016e-05
16/03/22 05:45:00,1.4133700460661203e-05,-1.5310407386337488e-09,4.867222855864384e-07,8.559827983845025e-05
16/03/22 06:00:00,1.6546622646274045e-05,7.362492393525599e-09,6.195896276040003e-07,9.94830988929607e-05
16/03/22 06:15:00,1.5075649571372196e-05,2.240382185325629e-10,5.233705451246351e-07,9.12444811547175e-05
16/03/22 06:30:00,1.568655534356367e-05,4.127296282518955e-09,5.704723662347533e-07,9.44739076658152e-05
16/03/22 06:45:00,1.3058055628789589e-05,-4.183184021400166e-09,4.474813124488719e-07,7.910853310022503e-05
16/03/22 07:00:00,1.672637699812185e-05,9.129721867395801e-09,6.352497052830586e-07,0.00010044247756013647
16/03/22 07:15:00,1.4055337487661745e-05,-3.0603808376383768e-09,4.7379123202517803e-07,8.525082375854254e-05
16/03/22 07:30:00,1.4221977835404687e-05,2.577038804574272e-09,5.191645868762862e-07,8.561951108276844e-05
16/03/22 07:45:00,1.4309296602732502e-05,1.9880057600119017e-09,5.100860676066077e-07,8.640322630526498e-05
16/03/22 08:00:00,1.4772753274883144e-05,3.255778313615565e-09,5.323246341504273e-07,8.906899893190712e-05
16/03/22 08:15:00,1.6157688150997274e-05,5.606227926335805e-09,5.850557158737502e-07,9.738290100358427e-05
16/03/22 08:30:00,1.7438995200791396e-05,6.4632321716828756e-09,6.291710406003403e-07,0.00010514088353374973
16/03/22 08:45:00,1.4319531146611553e-05,-3.1320279703095366e-09,4.908053483632102e-07,8.673137926962227e-05
16/03/22 09:00:00,1.669343328103423e-05,7.244940203321448e-09,6.258136409087456e-07,0.00010036140156444162
16/03/22 09:15:00,1.5980174794094637e-05,1.9293939779174707e-09,5.603164936474059e-07,9.663393575465307e-05
16/03/22 09:30:00,1.4470498172158841e-05,4.213054904944613e-11,5.130288514010317e-07,8.736838935874403e-05
16/03/22 09:45:00,1.4825208381807897e-05,2.643709917649062e-09,5.343042062122549e-07,8.939136023400351e-05
16/03/22 10:00:00,1.471646100981161e-05,2.0242261200564826e-09,5.255425321593066e-07,8.88315771589987e-05
16/03/22 10:15:00,1.6602594769210555e-05,6.508492855772374e-09,6.084752044444031e-07,9.998498717322946e-05
16/03/22 10:30:00,1.6071331629063934e-05,2.550216038343933e-09,5.680240633409994e-07,9.709915320854634e-05
16/03/22 10:45:00,1.2587242053996306e-05,-6.158553222945784e-09,4.297855298318609e-07,7.622752309544012e-05
16/03/22 11:00:00,1.6246287486865185e-05,8.607989876452393e-09,6.171323434500664e-07,9.756049257703125e-05
16/03/22 11:15:00,1.709995740384329e-05,5.154091820003259e-09,6.086868324928218e-07,0.00010328389907954261
16/03/22 11:30:00,1.5897654520813376e-05,1.8879307006614e-09,5.635918682855845e-07,9.599886107025668e-05
16/03/22 11:45:00,1.5622266801074147e-05,2.525914144513308e-09,5.596228334070474e-07,9.425385360373184e-05
16/03/22 12:00:00,1.4767635548196267e-05,8.999201384085609e-10,5.235079356680217e-07,8.918868843466043e-05
16/03/22 12:15:00,1.5996487491065636e-05,4.9338551022515276e-09,5.822824391543691e-07,9.63675556704402e-05
16/03/22 12:30:00,1.5069251276145224e-05,1.0964406049751574e-09,5.306772550284222e-07,9.107460209634155e-05
16/03/22 12:45:00,1.728226925479248e-05,7.439711957601958e-09,6.399453127414745e-07,0.00010400198516435921
16/03/22 13:00:00,1.6337122360710055e-05,1.9764965220048225e-09,5.733776333727292e-07,9.877273987513036e-05
16/03/22 13:15:00,1.8861352145904675e-05,9.065788120210527e-09,7.001555104579893e-07,0.00011348373664077371
16/03/22 13:30:00,1.8553340851212852e-05,4.33472902017229e-09,6.558362315445265e-07,0.0001121054810937494
16/03/22 13:45:00,1.7823451344156638e-05,3.2949520889502537e-09,6.373327892106317e-07,0.0001075499239959754
16/03/22 14:00:00,1.753910692059435e-05,3.2317597487008243e-09,6.271544634728343e-07,0.00010585509880911559
16/03/22 14:15:00,1.9506802345858887e-05,7.858192319076807e-09,7.124873491193284e-07,0.00011750267003662884
16/03/22 14:30:00,1.7611073417356238e-05,7.927555834008615e-10,6.146359510239563e-07,0.00010651720367604867
16/03/22 14:45:00,1.7925482097780332e-05,4.312207479983954e-09,6.485313974735618e-07,0.00010802285396493971
16/03/22 15:00:00,1.7911408576765098e-05,3.404671655715674e-09,6.393249805114465e-07,0.00010812323307618499
16/03/22 15:15:00,2.0348319594631903e-05,8.976909882107975e-09,7.472231118299533e-07,0.00012251765292603523
16/03/22 15:30:00,1.8456426914781332e-05,1.2238320357127463e-09,6.437941806325398e-07,0.00011164027819177136
16/03/22 15:45:00,2.1149215172044933e-05,9.889290275566509e-09,7.855792887312418e-07,0.0001272430963581428
16/03/22 16:00:00,2.0456747733987868e-05,3.963616990176888e-09,7.205606493698724e-07,0.00012364302529022098
16/03/22 16:15:00,2.0372948711155914e-05,5.061552066365493e-09,7.322583428504004e-07,0.00012284966942388564
16/03/22 16:30:00,1.9274273654446006e-05,2.2000887778261813e-09,6.822403975093039e-07,0.00011643520701909438
16/03/22 16:45:00,2.4350558305741288e-05,1.4687297600346483e-08,9.169218628812814e-07,0.00014638611173722893
16/03/22 17:00:00,2.06518543564016e-05,-9.985009485902197e-10,7.029269681879668e-07,0.0001251776411663741
16/03/22 17:15:00,2.149880674551241e-05,6.725729306822359e-09,7.874917855588137e-07,0.00012940890155732632
16/03/22 17:30:00,2.1370549802668393e-05,4.2720342818824975e-09,7.602288292218873e-07,0.00012908074131701142
16/03/22 17:45:00,2.024085188168101e-05,2.393414355594814e-09,7.206260761449812e-07,0.00012218370102345943
16/03/22 18:00:00,2.1864392692805268e-05,7.348601727130699e-09,7.945294555611326e-07,0.00013174652121961117
16/03/22 18:15:00,2.0819772544200532e-05,2.6423332410985267e-09,7.351397925958736e-07,0.00012579340545926243
16/03/22 18:30:00,2.0674562620115466e-05,3.98070154616903e-09,7.423107604154211e-07,0.00012469119974412024
16/03/22 18:45:00,1.9905332010239363e-05,2.2434558655248793e-09,7.075512371557124e-07,0.0001201993363793008
16/03/22 19:00:00,1.822549893404357e-05,-3.320533292772154e-10,6.442980975407409e-07,0.00011009215086232871
16/03/22 19:15:00,2.098705226671882e-05,8.332840195635072e-09,7.769613148411736e-07,0.00012631845311261714
16/03/22 19:30:00,1.7542624846100807e-05,-4.5510533119852425e-09,5.985181132928119e-07,0.0001063067902578041
16/03/22 19:45:00,2.1014879166614264e-05,9.83949988153654e-09,7.927749265945749e-07,0.00012628178228624165
16/03/22 20:00:00,1.9591243471950293e-05,1.1880293415700294e-09,6.821030069659173e-07,0.00011855083721457049
16/03/22 20:15:00,1.948953104147222e-05,3.662618652811034e-09,7.028968411759706e-07,0.00011747179087251425
16/03/22 20:30:00,2.040109393419698e-05,5.343099740429125e-09,7.334045335483097e-07,0.0001230542839039117
16/03/22 20:45:00,1.9072451323154382e-05,1.2781556923968651e-09,6.736395334883127e-07,0.00011522295972099528
16/03/22 21:00:00,2.0488412701524794e-05,6.403900076890068e-09,7.456990829268761e-07,0.00012343261914793402
16/03/22 21:15:00,1.9393897673580796e-05,1.7271618579783876e-09,6.836605166427034e-07,0.00011719960457412526
16/03/22 21:30:00,1.838574098655954e-05,1.3130057041621512e-09,6.5650169744913e-07,0.00011096466914750636
16/03/22 21:45:00,2.0600038624252193e-05,7.395168033497157e-09,7.537954616054776e-07,0.00012407542089931667
16/03/22 22:00:00,1.868127947091125e-05,-5.358552143674977e-12,6.521774480461318e-07,0.00011298571189399809
